URL,Domain,Anchor
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/peoples-liberation-organization-tamil-eelam,cisac.fsi.stanford.edu,People's Liberation Organization of Tamil Eelam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/popular-liberation-army,cisac.fsi.stanford.edu,Popular Liberation Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/primea-linea,cisac.fsi.stanford.edu,Prima Linea
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/proud-boys,cisac.fsi.stanford.edu,Proud Boys
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ras-kamboni-brigade,cisac.fsi.stanford.edu,Ras Kamboni Brigade
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/ras-kamboni-movement,cisac.fsi.stanford.edu,Ras Kamboni Movement
https://cisac.fsi.stanford.edu/mappingmilitants/content/mmp-real-irish-republican-army,cisac.fsi.stanford.edu,Real Irish Republican Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades,cisac.fsi.stanford.edu,Red Brigades
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-fighting-communist-party,cisac.fsi.stanford.edu,Red Brigades Fighting Communist Party
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-guerrilla-party,cisac.fsi.stanford.edu,Red Brigades Guerrilla Party
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-walter-alasia,cisac.fsi.stanford.edu,Red Brigades Walter Alasia
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/revolutionary-armed-forces-colombia-farc,cisac.fsi.stanford.edu,Revolutionary Armed Forces of Colombia (FARC)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/rise-above-movement,cisac.fsi.stanford.edu,Rise Above Movement
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/riyadus-salikhin,cisac.fsi.stanford.edu,Riyadus-Salikhin Reconnaissance and Sabotage Brigade
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/russian-imperial-movement,cisac.fsi.stanford.edu,Russian Imperial Movement
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/second-soran-unit-ssu,cisac.fsi.stanford.edu,Second Soran Unit (SSU)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/shariah-committee-ansar-al-sunnah,cisac.fsi.stanford.edu,Shariah Committee of Ansar al-Sunnah
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/special-purpose-islamic-regiment,cisac.fsi.stanford.edu,Special Purpose Islamic Regiment
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/afghan-taliban,cisac.fsi.stanford.edu,The Taliban
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/tamil-eelam-liberation-organization,cisac.fsi.stanford.edu,Tamil Eelam Liberation Organization
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/tehrik-i-taliban-pakistan,cisac.fsi.stanford.edu,Tehrik-i-Taliban Pakistan
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/united-self-defense-forces-colombia,cisac.fsi.stanford.edu,"United Self-Defense Forces of Colombia, AUC"
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/zain-group,cisac.fsi.stanford.edu,Zain Group
